"iso","country_name","SDI_category","appears_on_graph","var","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"alb","Albania","Middle SDI",FALSE,"All cause DALYs",959815.677900015,974390.588661455,957650.717385184,938445.955170698,910808.219692682,896880.531550469,888439.400034262,1024682.62375285,909886.103550359,867672.52820994,822999.705946853,790301.207115373,784488.35400644,789702.341268988,781034.280617418,762413.71315672,737400.942491632,718108.125751382,720259.508309344,709997.065347168,710876.211187926,719042.238535655,723236.808885079,726361.124738696,734878.753474754,745474.894410538,751313.714632271,755879.388632223,759409.817595634,765715.399022913
"alb","Albania","Middle SDI",FALSE,"All cause deaths",17479.6468710085,17882.2062319035,17387.3442630717,16868.8358418782,16136.3847170531,16353.6820521016,16661.2425048459,18997.9196641402,17208.267145595,17024.2293273838,16716.7549645757,16232.8212756468,16827.3422188169,17779.1096870214,17954.5499773281,17728.3026406417,17117.9388127138,16740.8184054379,17216.5892767972,17246.3026875945,17623.696716952,18240.947056954,18734.4358689668,19264.1315769354,20020.1049835424,20798.5403465,21280.6870551056,21742.375489829,22183.3021116252,22670.530010557
"dza","Algeria","Middle SDI",TRUE,"PM-equivalent emissions",496.126920674158,506.726911193935,515.872355167945,520.408186624889,505.971733520017,506.049378931866,500.482735274142,491.64764248633,499.775243600199,517.184321494484,527.958300940401,518.492265117297,569.214251310427,563.546119138319,595.44384631967,606.963073907949,613.602234651745,633.028273332168,594.432450381138,609.614154227965,614.767451781586,623.668508728187,634.152096261582,624.858427713986,646.665807273203,673.256579513401,658.304427945346,651.548392462633,662.956094054147,680.83806424943
"dza","Algeria","Middle SDI",TRUE,"Fossil/industrial fraction",0.664854473324075,0.662181659384078,0.660602214320729,0.65437347441559,0.636333955435682,0.626627922143752,0.614321709659406,0.608054575786934,0.607691501015663,0.61435859577895,0.615129571564158,0.609975296940143,0.643123995387305,0.640592574690372,0.659460999208176,0.66645316720669,0.670347564403778,0.678307629988281,0.659666239831873,0.668020285906368,0.673966616009281,0.681683208199452,0.689123239128249,0.686553700806473,0.70101191170246,0.713996300539485,0.710584764136337,0.710688329776202,0.718133769468155,0.727908904317088
"dza","Algeria","Middle SDI",TRUE,"Air pollution DALYs",534869.791382356,533176.058855388,531704.602247593,532131.47396497,532401.613079743,530809.228066032,530188.160833445,533487.265290122,535481.340793258,544618.181775617,546765.565432356,545378.06647905,542646.952792507,540108.26840688,538820.67763299,537170.362389573,536503.863717767,535279.002189468,534910.810435686,537060.888565961,541249.357429291,552159.194162278,565597.585538237,583848.384564074,603179.092898674,617760.58317285,621489.077808707,626676.71072108,640030.911864942,654752.578984414
"dza","Algeria","Middle SDI",TRUE,"Air pollution deaths",14222.8136155463,14437.3180724861,14647.6926692198,14898.7837498791,15168.4311603264,15368.0944268032,15557.6733344618,15817.6306313959,16020.3311039153,16477.8969467952,16634.4888941599,16672.67409355,16651.1244404882,16587.5827679848,16604.7189269788,16604.6489135041,16651.3431557757,16694.323195651,16748.1911193546,16922.7349511873,17154.6119822821,17633.0372648836,18169.7962943341,18803.1121520863,19529.6077709962,20168.0549782319,20399.4955507505,20756.3483604727,21458.5717170317,22161.9468673049
"dza","Algeria","Middle SDI",TRUE,"All cause DALYs",9713665.95595799,9563373.20754408,9504742.36946149,9459192.21256162,9517264.89829951,9480333.69196478,9274012.14127088,9458401.10923925,9330563.58334059,9149419.17064872,9203435.12811405,9162561.58937998,9131422.2264779,9205393.40522672,9067177.18947581,9077422.03684715,9119906.64421972,9181491.94849509,9221107.07300534,9296104.22362313,9336066.3395653,9436298.19189463,9519819.23091368,9640415.22854332,9781625.85496298,9878916.23609931,9909363.65692887,9944651.32604561,10053482.3658131,10122138.5285195
"dza","Algeria","Middle SDI",TRUE,"All cause deaths",153629.642157167,152796.790528846,153350.155998746,154074.066314632,156555.321376736,157221.835202945,155055.611204295,158739.962020454,157265.573706077,155712.907335993,157024.018212342,156932.278269886,156886.714313671,158359.171573154,156750.741419669,157656.977536117,159131.03976393,161151.89116626,162731.399681106,165261.044201923,167095.163205629,170454.410913127,173600.588031069,176985.065791166,181573.296545243,185863.190621186,188439.097248217,191819.360740523,197041.169578812,201110.984762154
"asm","American Samoa","High-middle SDI",FALSE,"PM-equivalent emissions",1.27025868765607,1.33527281313072,1.35387511307194,1.36761701168181,1.36801320708998,1.41054192847789,1.42029001837152,1.41176668574456,1.48910278723483,1.52567436283274,1.46440559562812,1.44682763182896,1.43462746861915,1.45369659960626,1.47626588797233,1.37980080278041,1.33306648739388,1.34403416971959,1.28373381194801,1.2367555889432,1.36484261982551,0.887493574467548,1.13597055055708,1.08121068649203,1.03351780653881,1.03540307876481,1.04179135201625,0.825414481819416,0.839825234202837,0.817791885980331
"asm","American Samoa","High-middle SDI",FALSE,"Fossil/industrial fraction",0.932657679916387,0.936886055488046,0.93686431078689,0.935400521627359,0.935720534328295,0.937876165775205,0.937645600556158,0.936337474442079,0.935412677798851,0.935048991094616,0.936781482488205,0.935628748436522,0.933884897146444,0.935284303496928,0.934384462267198,0.932362951779282,0.930617185820141,0.93231815224955,0.936837244641138,0.930678592390635,0.93783842865545,0.911345025829909,0.933539903594469,0.932424697397677,0.929091697896845,0.929201543660824,0.931066485762087,0.913992651955216,0.915751047553857,0.913757908673022
