"SDI_category","var","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Middle SDI","All cause DALYs",330321412.506776,328793883.603894,327305462.93565,326694479.318406,327714558.139888,329129483.916648,330078278.94163,331628334.715039,334288173.660389,338295843.483455,339896304.735802,341949340.775911,346218636.055704,349016826.961488,362201533.460175,351642797.30118,353243214.003219,352571456.988791,354184900.094906,354840815.981966,353837239.059549,353501583.378267,356396581.797181,357319343.165337,358672229.942289,360246350.756211,364059021.616947,365345877.81657,364804657.151863,366491674.339925
"Middle SDI","All cause deaths",5462150.7364593,5482002.60965098,5526825.34941221,5586306.48400353,5668726.11848933,5747948.05296612,5823199.82435538,5891616.19313428,5993099.00763156,6111432.99773541,6188525.32627528,6263260.89858258,6413290.33029883,6525118.06834145,6815718.88256662,6688280.83481739,6775917.47869862,6816199.19639902,6924782.19457523,7019168.89350833,7070843.15742407,7119256.47253125,7224412.26347543,7317262.09071755,7433711.99210212,7544865.04519957,7686869.14554736,7782590.97739796,7850633.74077095,7964617.22158367
"High-middle SDI","PM-equivalent emissions",95391.8908290782,94938.0213840012,92217.680937592,92274.9047553882,89831.0647931494,91097.9054493338,90484.2639482592,88638.1417919887,88601.7977971753,86642.540945227,87990.1967295826,88657.0116556556,90311.9935267267,95586.1199607817,102044.611615095,108099.380449091,111693.757926956,112357.116483587,109460.08542882,105563.917792487,103617.85909291,107349.787677007,106618.725942044,101642.667093251,95387.9963445083,90564.5166046124,85416.5787553999,82002.7260192269,81195.559754967,79986.0269450169
"High-middle SDI","Fossil/industrial fraction",0.873898022220486,0.872264049679509,0.868143033340101,0.858985630885978,0.856545463761808,0.858694441592764,0.859187124086667,0.85261497611434,0.844524397912819,0.844194537769954,0.849556465864198,0.851595495136454,0.855986943549759,0.870321148194332,0.880337242800965,0.888129775680368,0.891409681369307,0.892045315663121,0.89824488064961,0.891459922975795,0.887691336983018,0.892761153697754,0.892641744886489,0.888272736786923,0.880634218550944,0.875459662903357,0.86799014634801,0.862564869158573,0.861784357971322,0.860429223479774
"High-middle SDI","Air pollution DALYs",73965924.3717331,73171577.0985553,72422876.0340346,71767244.756539,70648885.4580679,68896308.9065318,66948082.1619688,64820566.6093654,62988657.557726,62338604.7727425,61960477.3732431,61014470.8095782,60571190.3328149,60046927.6826249,59775631.7795603,58893659.8434738,56757345.4207223,55632343.3276533,55478595.9197151,55131364.1214193,55256548.9865569,54879114.0026879,54346678.2010933,53863203.6581859,53541456.5872953,53678474.61399,53153742.347629,52080068.5922209,51633205.6011877,51858080.5485714
"High-middle SDI","Air pollution deaths",2358835.57576533,2362039.35164584,2377275.53008527,2402312.74964967,2399492.19835199,2374448.40812811,2348222.76523301,2312281.27621559,2279138.72630194,2300194.03539172,2329101.31590686,2334766.68132501,2355310.43953144,2369427.76313305,2387818.1854695,2372980.24361166,2293642.7530646,2260501.69796431,2275177.62886983,2285153.10265485,2312446.977636,2301298.39095373,2271422.95926563,2252107.63228774,2243316.98188382,2249002.56921334,2240632.98350027,2210568.34268036,2199943.08921764,2224327.80975232
"High-middle SDI","All cause DALYs",618001197.977231,614958026.174221,615955757.144205,621291429.888822,624400852.689167,619091424.429369,608259241.357292,596983861.649408,590396551.569728,594315292.023218,594267060.4073,590926662.490003,589985357.797983,591310409.991033,590226786.562178,590145730.620849,576898552.982337,570752632.815711,575342098.625796,568113228.49874,569695625.723092,565883346.464528,564047447.301594,563157161.023572,565907435.401864,570309350.09596,574436655.260575,575277162.458192,579461627.26053,585352097.674572
"High-middle SDI","All cause deaths",13089605.4233446,13180847.4467749,13398384.3390312,13788335.3871781,14012149.8811464,13977296.6198092,13828117.4118638,13665573.6958296,13609765.9760262,13926117.5724846,14163590.4755598,14282580.7826846,14500966.1233455,14720684.4620843,14855132.6154797,14982767.0667004,14601387.6738635,14504909.441976,14747763.8685363,14742820.8681422,14982557.4873394,14942316.1591183,14912997.326986,14938274.9073592,15086048.6297782,15290939.1080552,15514719.6310225,15634449.6029767,15866286.7907765,16203389.8881312
"High SDI","PM-equivalent emissions",104350.59226694,101244.503571779,99016.9219634891,96289.2882619751,93683.7276983032,89263.9553431162,87680.1085086903,86650.9718377375,85155.9563027245,82246.5887513139,80658.1827293034,78071.5588981706,76024.2047515507,74696.7081886183,74704.1918605205,74184.5850730842,72385.4816760162,70141.7147052481,65329.4144551459,60353.9340747835,59522.81510821,57413.6450514047,53723.6383713231,51904.4178262802,50187.3572170809,48684.8543941529,48101.409068663,47301.240167864,46402.2022229308,44932.7558429628
"High SDI","Fossil/industrial fraction",0.929913254938557,0.925708152863001,0.923954825305962,0.923278916683166,0.921242855388899,0.918956610459984,0.91688492988944,0.91379518207573,0.911629408400151,0.906147737314726,0.904619396190881,0.901991956132669,0.898572605907624,0.899329511637876,0.900905989411851,0.898960630439956,0.894966370093178,0.893158778779949,0.884328181647178,0.87364513272038,0.863195259793088,0.86001242032761,0.850305307140329,0.843468554818039,0.838974633108326,0.834329496951333,0.833423102298319,0.830892998144369,0.828444155216241,0.823633168308719
