Location ID,Location Name,2017 SDI Index Value,SDI Quintile
35458,Yamaguchi,0.849441807,High SDI
35442,Yamanashi,0.854296098,High SDI
68,South Korea,0.871955704,High SDI
69,Singapore,0.872215248,High SDI
100,High-income North America,0.868169406,
101,Canada,0.882086227,High SDI
349,Greenland,0.760075292,High-middle SDI
102,United States,0.86662166,High SDI
523,Alabama,0.837233514,High SDI
524,Alaska,0.86060992,High SDI
525,Arizona,0.845107314,High SDI
526,Arkansas,0.826148933,High SDI
527,California,0.872398094,High SDI
528,Colorado,0.882128544,High SDI
529,Connecticut,0.906486727,High SDI
530,Delaware,0.873744053,High SDI
531,District of Columbia,0.890203139,High SDI
532,Florida,0.863631092,High SDI
533,Georgia,0.848426298,High SDI
534,Hawaii,0.872290363,High SDI
535,Idaho,0.840713155,High SDI
536,Illinois,0.879386003,High SDI
537,Indiana,0.84792909,High SDI
538,Iowa,0.8704793,High SDI
539,Kansas,0.864464964,High SDI
540,Kentucky,0.83130395,High SDI
541,Louisiana,0.834894869,High SDI
542,Maine,0.872309993,High SDI
543,Maryland,0.895667105,High SDI
544,Massachusetts,0.913307727,High SDI
545,Michigan,0.867717003,High SDI
546,Minnesota,0.892987345,High SDI
547,Mississippi,0.818942009,High SDI
548,Missouri,0.85325798,High SDI
549,Montana,0.863383139,High SDI
550,Nebraska,0.87308561,High SDI
551,Nevada,0.847315003,High SDI
552,New Hampshire,0.904304115,High SDI
553,New Jersey,0.899124902,High SDI
554,New Mexico,0.835274776,High SDI
555,New York,0.893442339,High SDI
556,North Carolina,0.84978326,High SDI
557,North Dakota,0.879820384,High SDI
558,Ohio,0.858271211,High SDI
559,Oklahoma,0.838181089,High SDI
560,Oregon,0.870700326,High SDI
561,Pennsylvania,0.878553277,High SDI
562,Rhode Island,0.890036984,High SDI
563,South Carolina,0.846024965,High SDI
564,South Dakota,0.860188872,High SDI
565,Tennessee,0.836985155,High SDI
566,Texas,0.837777472,High SDI
567,Utah,0.855766922,High SDI
568,Vermont,0.89559193,High SDI
569,Virginia,0.885122306,High SDI
570,Washington,0.88440099,High SDI
571,West Virginia,0.824706332,High SDI
572,Wisconsin,0.87773172,High SDI
573,Wyoming,0.869345173,High SDI
96,Southern Latin America,0.720171023,
97,Argentina,0.710150584,High-middle SDI
98,Chile,0.748081344,High-middle SDI
99,Uruguay,0.706753401,High-middle SDI
